Other Flag,Trading symbol,Exact title and class of securities outstanding,CUSIP,Par/stated value,Total shares authorized,Authorized Date,Total shares oustanding,Outstanding Date,Number of shares in the Public Float, Public float Date,Total number of shareholders of Record,Shareholders Date,ID,Submission Year,Submission Year File Number,file,Link
True, ACMTA, Class A Stock, 004616207, No Par Value," 10,000,000 "," December 31, 2021"," 435,421 4 "," December 31, 2021",None,None,None,None,ACMTA,2022,1,ACMTA_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/323573/content
True, AFTC, Preferred Series A,, 1.000," 5,000,000 "," December 315, 2021"," 1,000,000 "," December 315, 2021",None,None,None,None,AFTC,2022,1,AFTC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/330767/content
True, AFTC, Preferred Series A,, 1.000," 5,000,000 "," December 315, 2020"," 1,000,000 "," December 315, 2020",None,None,None,None,AFTC,2022,2,AFTC_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/330764/content
True, not applicable,,,, ,, ,,None,None,None,None,AGDY,2021,2,AGDY_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302840/content
True, not applicable,,,, ,, ,,None,None,None,None,AGDY,2022,2,AGDY_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/347238/content
True, NONE, PREFERRED CLASS A, N/A, 0.001,,, 0),,None,None,None,None,AHFD,2021,1,AHFD_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/307579/content
True, NONE, PREFERRED CLASS A, N/A, 0.001," 10,000 ",, fe) ,,None,None,None,None,AHFD,2021,2,AHFD_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/307578/content
True, NONE, PREFERRED CLASS A, N/A, 0.001," 10,000 ",, fe) ,,None,None,None,None,AHFD,2021,3,AHFD_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301850/content
True, NONE, PREFERRED CLASS A, N/A, 0.001,,, 0),,None,None,None,None,AHFD,2021,4,AHFD_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301849/content
True, NA, PREFERRED, NA, 0.001," 10,000 ",, fe) ,,None,None,None,None,AHFD,2022,1,AHFD_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/318007/content
True, n/a,, n/a, $0.0001," 250,000 ", 12/31/19, 230 , 12/31/19,None,None,None,None,AMBS,2020,1,AMBS_2020_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/253027/content
True, n/a,, n/a, $0.0001," 3,000,000 ", 12/31/19," 249,999 ", 12/31/19,None,None,None,None,AMBS,2020,1,AMBS_2020_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/253027/content
True, n/a,,,,, 12/31/19,, 12/31/19,None,None,None,None,AMBS,2020,1,AMBS_2020_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/253027/content
True, AMLH, Preferred A, , $10," 5,000,000 ", 12/31/2020," 1,594,000 ", 12/31/2020,None,None,None,None,AMLH,2021,1,AMLH_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302594/content
True, AMLH, Preferred A, , $10," 5,000,000 ", 12/31/19," 1,594,000 ", 12/31/19,None,None,None,None,AMLH,2021,2,AMLH_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/300567/content
True, AMLH, Preferred A,, $10," 5,000,000 ", 12/31/21," 4,094,000 ", 12/31/21,None,None,None,None,AMLH,2022,1,AMLH_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/328098/content
True, AMLH, Preferred A,, $10," 5,000,000 ", 12/31/21," 4,094,000 ", 12/31/21,None,None,None,None,AMLH,2022,2,AMLH_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/327230/content
True, AMNCB, | Class B common stock, 03153A205, $.001," 40,000,000 "," December 31, 2018"," 21,279,642 "," December 31, 2018",None,None,None,None,AMNC,2019,3,AMNC_2019_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/233318/content
True, AMNCB, | Class B common stock, 03153A205, $.001," 40,000,000 "," December 31, 2017"," 21,279,642 "," December 31, 2017",None,None,None,None,AMNC,2019,6,AMNC_2019_Annual_6.txt,https://www.otcmarkets.com/otcapi/company/financial-report/233315/content
