Other Flag,Trading symbol,Exact title and class of securities outstanding,CUSIP,Par/stated value,Total shares authorized,Authorized Date,Total shares oustanding,Outstanding Date,Number of shares in the Public Float, Public float Date,Total number of shareholders of Record,Shareholders Date,ID,Submission Year,Submission Year File Number,file,Link
False, AAPT,CommonStock,01644F106, 0.001,, 12/31/2020," 2,980,416,590 ", 12/31/2020," 2,230,714,502 ", 12/31/2020, 357 , 12/31/2020,AAPT,2021,2,AAPT_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/300476/content
False, AAPT,CommonStock,01644F106, 0.001,, 12/31/2019," 2,980,416,590 ", 12/31/2019," 2,230,714,502 ", 12/31/2019, 357 , 12/31/2019,AAPT,2021,3,AAPT_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/300475/content
False, AAPT,CommonStock,01644F106, 0.001,, 12/31/2021," 2,980,416,590 ", 12/31/2021," 2,230,714,502 ", 12/31/2021, 357 , 12/31/2021,AAPT,2022,1,AAPT_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/326652/content
False, AAPT,CommonStock,01644F106, 0.001,, 12/31/2021," 2,980,416,590 ", 12/31/2021," 2,230,714,502 ", 12/31/2021, 357 , 12/31/2021,AAPT,2022,2,AAPT_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/325740/content
False, ACCR,Common,00431N108, .001,," December 31, 2020"," 300,000,000 "," December 31, 2020"," 98,244,146 "," December 31, 2020", Unverifiable ," December 31, 2020",ACCR,2021,1,ACCR_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299955/content
False, ACCR,Common,00431N108, .001,," December 31, 2019"," 244,141,121 "," December 31, 2019"," 98,244,146 "," December 31, 2019", Unverifiable ," December 31, 2019",ACCR,2021,2,ACCR_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299951/content
False, ACCR,Common,00431N108, .001,," December 31, 2020"," 300,000,000 "," December 31, 2020"," 98,244,146 "," December 31, 2020", Unverifiable ," December 31, 2020",ACCR,2021,3,ACCR_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/297023/content
False, ACCR,Common,00431N108, .001,," December 31, 2019"," 244,141,121 "," December 31, 2019"," 98,244,146 "," December 31, 2019", Unverifiable ," December 31, 2019",ACCR,2021,4,ACCR_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/294899/content
False, ACCR,Common,00431N108, .001,," December 31, 2021"," 301,500,000 "," December 31, 2021"," 98,244,146 "," December 31, 2021", Unverifiable ," December 31, 2021",ACCR,2022,1,ACCR_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/317762/content
False, ACMT,CommonStock,004616108, No Par Value,," December 31, 2021"," 336,076 2 "," December 31, 2021"," 14,417 "," December 31, 2021", 36 ," December 31, 2021",ACMTA,2022,1,ACMTA_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/323573/content
