Agent Name,Phone,Email,Address,ID,Submission Year,Submission Year File Number,file,Link
 Pacific Stock Transfer,7023613033,paul@pacificstocktransfer.com," 6725 Via Austi Pkwy., Ste. 300, Las Vegas, NV 89119",AAPT,2021,2,AAPT_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/300476/content
 Pacific Stock Transfer,7023613033,paul@pacificstocktransfer.com," 6725 Via Austi Pkwy., Ste. 300, Las Vegas, NV 89119",AAPT,2021,3,AAPT_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/300475/content
 VStock Transfer,2128288436,vincent@vstocktransfer.com," 18 Lafayette Pl., Woodmere, NY 11598",AAPT,2022,1,AAPT_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/326652/content
 VStock Transfer,2128288436,vincent@vstocktransfer.com," 18 Lafayette Pl., Woodmere, NY 11598",AAPT,2022,2,AAPT_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/325740/content
 Standard Transfer & Co.,8015718844,amy@standardregistrat.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2021,1,ACCR_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299955/content
 Standard Transfer & Co.,8015718844,amy@standardregistrar.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2021,2,ACCR_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299951/content
 Standard Transfer & Co.,8015718844,amy@standardregistrat.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2021,3,ACCR_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/297023/content
 Standard Transfer & Co.,8015718844,amy@standardregistrar.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2021,4,ACCR_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/294899/content
 Standard Transfer & Co.,8015718844,amy@standardregistrat.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2022,1,ACCR_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/317762/content
 American Stock Transfer and Trust Company,(800)9375449,helastfinancial.com, 6201 15th Avenue,ACMTA,2022,1,ACMTA_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/323573/content
 American Stock Transfer and Trust Company,(800)9375449,helastfinancial.com, 6201 15th Avenue,ACMTA,2023,1,ACMTA_2023_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/361893/content
 Empire Stock Transfer Inc,7028185898,rico@empirestock.com," 1859 Whitney Mesa Dr Henderson, NV 89014",AFTC,2022,1,AFTC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/330767/content
 Empire Stock Transfer Inc,7028185898,rico@empirestock.com," 1859 Whitney Mesa Dr Henderson, NV 89014",AFTC,2022,2,AFTC_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/330764/content
 Action Stock Transfer Corporation,8012741088,action@actionstocktransfer.com," 2469 E Fort Union Blvd., Suite 214 Salt Lake City, UT 84121",AGDY,2021,2,AGDY_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302840/content
 Action Stock Transfer Corporation,8012741088,action@actionstocktransfer.com," 2469 E Fort Union Blvd., Suite 214 Salt Lake City, UT 84121",AGDY,2022,2,AGDY_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/347238/content
 Equiniti,6513064403,angela.piotrowski@edquiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2021,1,AGGI_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/315857/content
 Equiniti,6513064403,angela.piotrowski@equiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2021,2,AGGI_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/315856/content
 Equiniti,6513064403,angela.piotrowski@equiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2021,3,AGGI_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/300045/content
 Equiniti,6513064403,angela.piotrowski@equiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2021,4,AGGI_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299078/content
 Equiniti,6513064403,angela.piotrowski@equiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2022,1,AGGI_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/329398/content
 Empire Stock Transfer,(702)8185898,info@empirestock.com," 1859 Whitney Mesa Dr.,",AGIN,2022,1,AGIN_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/347646/content
 OLDE MONMOUTH STOCK TRANSFER,7328722727,matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2021,1,AHFD_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/307579/content
 OLDE MONMOUTH STOCK TRANSFER,7328722727,matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2021,2,AHFD_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/307578/content
 OLDE MONMOUTH STOCK TRANSFER,7328722727,matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2021,3,AHFD_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301850/content
 OLDE MONMOUTH STOCK TRANSFER,7328722727,matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2021,4,AHFD_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301849/content
 OLDE MONMOUTH STOCK TRANSFER,1328722727,matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2022,1,AHFD_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/318007/content
 Issuer Direct Corporation,9197442722,Dominick.DalPizzol@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",AHFI,2021,2,AHFI_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298180/content
 Issuer Direct Corporation,9197442722,Dominick.DalPizzol@issuerdirect.com," One Glenwood Avenue, Suite 1001, Raleigh, NC 27603",AHFI,2021,3,AHFI_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298179/content
