ID,Submission Year,Report Submission Title,Submission Year File Number,Date,Link,pdf_file,Company Name,text_file,Securities Done,Insiders Done,Third Party Providers Done,Transfer Agents Done,Financial Statements Done,Additional Securities Done,Reporting Year,file,Reporting Year/Period
AAPT,2021,"Attorney Letter with Respect to Current Information - Annual Reports for periods ending December 31, 2019, and December 31, 2020",1,09/05/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300931/content,AAPT_2021_Annual_1.pdf,ALL AMERICAN PET CO INC,AAPT_2021_Annual_1.txt,-1,0,-1,-1,0,-1,0,AAPT_2021_Annual_1.txt,-1.0
AAPT,2021,Annual Report - Annual Report 2020,2,09/01/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300476/content,AAPT_2021_Annual_2.pdf,ALL AMERICAN PET CO INC,AAPT_2021_Annual_2.txt,1,0,-5,1,0,-3,0,AAPT_2021_Annual_2.txt, 12/81/2020
AAPT,2021,Annual Report - Annual Report 2019,3,09/01/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300475/content,AAPT_2021_Annual_3.pdf,ALL AMERICAN PET CO INC,AAPT_2021_Annual_3.txt,1,0,-5,1,0,-3,0,AAPT_2021_Annual_3.txt, 12/81/2019
AAPT,2022,Annual Report - AAPT Annual Report 2021 (Amended),1,04/04/2022,https://www.otcmarkets.com/otcapi/company/financial-report/326652/content,AAPT_2022_Annual_1.pdf,ALL AMERICAN PET CO INC,AAPT_2022_Annual_1.txt,1,0,-5,1,0,-3,0,AAPT_2022_Annual_1.txt, 12/31/2021
AAPT,2022,Annual Report - AAPT - FY 2021 December,2,03/31/2022,https://www.otcmarkets.com/otcapi/company/financial-report/325740/content,AAPT_2022_Annual_2.pdf,ALL AMERICAN PET CO INC,AAPT_2022_Annual_2.txt,1,0,-5,1,0,-3,0,AAPT_2022_Annual_2.txt, 12/31/2021
ABVN,2017,"Annual Report - ABV Consulting, Inc. (ABVN) FY2016 Annual Report",1,04/28/2017,https://www.otcmarkets.com/otcapi/company/financial-report/170775/content,ABVN_2017_Annual_1.pdf,ABV CONSULTING INC,ABVN_2017_Annual_1.txt,-1,0,-1,-1,0,-1,0,ABVN_2017_Annual_1.txt,-1
ACCR,2021,Annual Report - 2020 Amendement,1,08/31/2021,https://www.otcmarkets.com/otcapi/company/financial-report/299955/content,ACCR_2021_Annual_1.pdf,ACCESS-POWER & CO INC,ACCR_2021_Annual_1.txt,1,0,1,1,0,-3,0,ACCR_2021_Annual_1.txt," December 31, 2020"
ACCR,2021,Annual Report - 2019 Amendement,2,08/31/2021,https://www.otcmarkets.com/otcapi/company/financial-report/299951/content,ACCR_2021_Annual_2.pdf,ACCESS-POWER & CO INC,ACCR_2021_Annual_2.txt,1,0,1,1,0,-3,0,ACCR_2021_Annual_2.txt," December 31, 2019"
ACCR,2021,Annual Report - 2020,3,08/18/2021,https://www.otcmarkets.com/otcapi/company/financial-report/297023/content,ACCR_2021_Annual_3.pdf,ACCESS-POWER & CO INC,ACCR_2021_Annual_3.txt,1,0,1,1,0,-3,0,ACCR_2021_Annual_3.txt," December 31, 2020"
ACCR,2021,Annual Report - 2019,4,08/10/2021,https://www.otcmarkets.com/otcapi/company/financial-report/294899/content,ACCR_2021_Annual_4.pdf,ACCESS-POWER & CO INC,ACCR_2021_Annual_4.txt,1,0,1,1,0,-3,0,ACCR_2021_Annual_4.txt," December 31, 2019"
