Other Flag,Trading symbol,Exact title and class of securities outstanding,CUSIP,Par/stated value,Total shares authorized,Authorized Date,Total shares oustanding,Outstanding Date,Number of shares in the Public Float, Public float Date,Total number of shareholders of Record,Shareholders Date,ID,Submission Year,Submission Year File Number
False, AAPT, © Common Stock, 01644F106, 0.001," 3,000,000,000 ", 12/31/2020," 2,980,416,590 ", 12/31/2020," 2,230,714,502 ", 12/31/2020, 357 , 12/31/2020,AAPT,2021,2
False, AAPT, © Common Stock, 01644F106, 0.001," 3,000,000,000 ", 12/31/2019," 2,980,416,590 ", 12/31/2019," 2,230,714,502 ", 12/31/2019, 357 , 12/31/2019,AAPT,2021,3
False, AAPT, | Common Stock, 01644F 106, 0.001," 3,000,000,000 ", 12/31/2021," 2,980,416,590 ", 12/31/2021," 2,230,714,502 ", 12/31/2021, 357 , 12/31/2021,AAPT,2022,1
False, AAPT, | Common Stock, 01644F 106, 0.001," 3,000,000,000 ", 12/31/2021," 2,980,416,590 ", 12/31/2021," 2,230,714,502 ", 12/31/2021, 357 , 12/31/2021,AAPT,2022,2
False, ACCR, © Common, 00431N108, .001," 500,000,000 "," December 31, 2020"," 300,000,000 "," December 31, 2020"," 98,244,146 "," December 31, 2020", Unverifiable ," December 31, 2020",ACCR,2021,1
False, ACCR, © Common, 00431N108, .001," 500,000,000 "," December 31, 2019"," 244,141,121 "," December 31, 2019"," 98,244,146 "," December 31, 2019", Unverifiable ," December 31, 2019",ACCR,2021,2
False, ACCR, © Common, 00431N108, .001," 500,000,000 "," December 31, 2020"," 300,000,000 "," December 31, 2020"," 98,244,146 "," December 31, 2020", Unverifiable ," December 31, 2020",ACCR,2021,3
False, ACCR, © Common, 00431N108, .001," 500,000,000 "," December 31, 2019"," 244,141,121 "," December 31, 2019"," 98,244,146 "," December 31, 2019", Unverifiable ," December 31, 2019",ACCR,2021,4
False, ACCR, © Common, 00431N108, .001," 500,000,000 "," December 31, 2021"," 301,500,000 "," December 31, 2021"," 98,244,146 "," December 31, 2021", Unverifiable ," December 31, 2021",ACCR,2022,1
False, ACMT, | Common Stock, 004616108, No Par Value," 3,500,000 "," December 31, 2021"," 336,076 2 "," December 31, 2021"," 14,417 "," December 31, 2021", 36 ," December 31, 2021",ACMTA,2022,1
True, ACMTA, Class A Stock, 004616207, No Par Value," 10,000,000 "," December 31, 2021"," 336,076 2 "," December 31, 2021",,,,,ACMTA,2022,1
False, ACMT, | Common Stock, 004616108, No Par Value," 3,500,000 "," December 31, 2022"," 336,076 2 "," December 31, 2022"," 14,417 "," December 31, 2022", 33 ," December 31, 2022",ACMTA,2023,1
False, AFTC, COMMON, 02151Q105, 0.001," 100,000,000,000 "," December 31°, 2021"," 71,846,033,691 "," December 315, 2021"," 551,373,816 "," December 31, 2021", 191 ," December 31, 2021",AFTC,2022,1
True, AFTC, Preferred Series A,, 1.000," 5,000,000 "," December 315, 2021"," 71,846,033,691 "," December 315, 2021",,,,,AFTC,2022,1
False, AFTC, COMMON, 02151Q105, 0.001," 100,000,000,000 "," December 315, 2020"," 71,846,033,691 "," December 315, 2020"," 551,373,816 "," December 31, 2020", 191 ," December 31, 2020",AFTC,2022,2
True, AFTC, Preferred Series A,, 1.000," 5,000,000 "," December 315, 2020"," 71,846,033,691 "," December 315, 2020",,,,,AFTC,2022,2
False, AGDY, © Common, 008495202, $0.0001," 52,000,000,000 "," June 30, 2021"," 1,900,405,477 "," June 30, 2021",," June 30, 2021",," June 30, 2021",AGDY,2021,2
True, not applicable,,,, ,," 1,900,405,477 ",,,,,,AGDY,2021,2
False, AGDY, Common, 008495202, $0.0001," 52,000,000,000 "," June 30, 2022"," 1,980,405.477 "," June 30, 2022"," 24,405,477 "," June 30, 2022", 50 ," June 30, 2022",AGDY,2022,2
True, not applicable,,,, ,," 1,980,405.477 ",,,,,,AGDY,2022,2
False, AGGI, - Common, 019153105, $0.001," 20,000,000,000 "," August 20, 2021"," 1,196,661,821 "," August 20, 2021"," 24,223,959 "," August 20, 2021", 572 ," August 20, 2021",AGGI,2021,1
True,,,,, ,," 1,196,661,821 ",,,,,,AGGI,2021,1
False, AGGI, © Common, 019153105, $0.001," 20,000,000,000 "," August 20, 2021"," 1,196,661,821 "," August 20, 2021"," 24,223,959 "," August 20, 2021", 572 ," August 20, 2021",AGGI,2021,2
False, AGGI, © Common, 019153105, $0.001," 20,000,000,000 "," August 20, 2021"," 1,196,661,821 "," August 20, 2021"," 24,223,959 "," August 20, 2021", 572 ," August 20, 2021",AGGI,2021,3
False, AGGI, © Common, 019153105, $0.001," 20,000,000,000 "," August 20, 2021"," 1,196,661,821 "," August 20, 2021"," 24,223,959 "," August 20, 2021", 572 ," August 20, 2021",AGGI,2021,4
False, AGGI, - Common, 019153105, $0.001," 20,000,000,000 "," December 31, 2021"," 1,196,661,821 "," April 22, 2022"," 24,223,959 "," December 31, 2021", 574 ," December 31, 2021",AGGI,2022,1
True,,,,, ,," 1,196,661,821 ",,,,,,AGGI,2022,1
