Agent Name,Phone,Email,Address,ID,Submission Year,Submission Year File Number
 Pacific Stock Transfer, 702-361-3033, paul @pacificstocktransfer.com," 6725 Via Austi Pkwy., Ste. 300, Las Vegas, NV 89119",AAPT,2021,2
 Pacific Stock Transfer, 702-361-3033, paul @pacificstocktransfer.com," 6725 Via Austi Pkwy., Ste. 300, Las Vegas, NV 89119",AAPT,2021,3
 VStock Transfer, 212-828-8436, vincent@vstocktransfer.com," 18 Lafayette Pl., Woodmere, NY 11598",AAPT,2022,1
 VStock Transfer, 212-828-8436, vincent@vstocktransfer.com," 18 Lafayette Pl., Woodmere, NY 11598",AAPT,2022,2
 Standard Transfer & Co., 801 571-8844, amy @standardregistrat.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2021,1
 Standard Transfer & Co., 801 571-8844, amy @standardregistrar.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2021,2
 Standard Transfer & Co., 801 571-8844, amy @standardregistrat.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2021,3
 Standard Transfer & Co., 801 571-8844, amy @standardregistrar.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2021,4
 Standard Transfer & Co., 801 571-8844, amy @standardregistrat.com," 440 East 400 South, Suite 200, Salt Lake City, Utah 84111",ACCR,2022,1
 American Stock Transfer and Trust Company, (800) 937-5449, hel astfinancial.com, 6201 15th Avenue,ACMTA,2022,1
 American Stock Transfer and Trust Company, (800) 937-5449, hel astfinancial.com, 6201 15th Avenue,ACMTA,2023,1
 Empire Stock Transfer Inc, 702-818-5898, rico@empirestock.com," 1859 Whitney Mesa Dr Henderson, NV 89014",AFTC,2022,1
 Empire Stock Transfer Inc, 702-818-5898, rico@empirestock.com," 1859 Whitney Mesa Dr Henderson, NV 89014",AFTC,2022,2
 Action Stock Transfer Corporation, 801-274-1088, action@actionstocktransfer.com," 2469 E Fort Union Blvd., Suite 214 Salt Lake City, UT 84121",AGDY,2021,2
 Action Stock Transfer Corporation, 801-274-1088, action@actionstocktransfer.com," 2469 E Fort Union Blvd., Suite 214 Salt Lake City, UT 84121",AGDY,2022,2
 Equiniti, 651-306-4403, angela.piotrowski@edquiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2021,1
 Equiniti, 651-306-4403, angela.piotrowski@equiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2021,2
 Equiniti, 651-306-4403, angela.piotrowski@equiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2021,3
 Equiniti, 651-306-4403, angela.piotrowski@equiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2021,4
 Equiniti, 651-306-4403, angela.piotrowski@equiniti.com," 1110 Centre Pointe Curve, Ste 101, Mendota Heights, MN 55120",AGGI,2022,1
,,,,AGIN,2021,1
 Empire Stock Transfer, (702) 818-5898, info@empirestock.com," 1859 Whitney Mesa Dr.,",AGIN,2022,1
 OLDE MONMOUTH STOCK TRANSFER, 732-872-2727, matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2021,1
 OLDE MONMOUTH STOCK TRANSFER, 732-872-2727, matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2021,2
 OLDE MONMOUTH STOCK TRANSFER, 732-872-2727, matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2021,3
 OLDE MONMOUTH STOCK TRANSFER, 732-872-2727, matt@oldemonmouth.com," 200 MEMORIAL PARKWAY ATLANTIC HIGHLANDS, NEW JERSEY 07716",AHFD,2021,4
