ID,Financial Statements Done,Reporting Year,Submission Year,Report Submission Title,Submission Year File Number,Date,Link,pdf_file,Company Name,text_file,Securities Done,Insiders Done,Third Party Providers Done,Trading Agents Done,Reporting Year/Period,Transfer Agents Done
AAPT,0,1848,2021,"Attorney Letter with Respect to Current Information - Annual Reports for periods ending December 31, 2019, and December 31, 2020",1,09/05/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300931/content,AAPT_2021_Annual_1.pdf,"87    ALL AMERICAN PET CO INC
Name: 4, dtype: object",AAPT_2021_Annual_1.txt,0,0,-1,0,-1.0,
AAPT,0,1848,2021,Annual Report - Annual Report 2020,2,09/01/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300476/content,AAPT_2021_Annual_2.pdf,"87    ALL AMERICAN PET CO INC
Name: 4, dtype: object",AAPT_2021_Annual_2.txt,1,0,-5,0,"<regex.Match object; span=(267, 278), match=' 12/81/2020'>",1.0
AAPT,0,1848,2021,Annual Report - Annual Report 2019,3,09/01/2021,https://www.otcmarkets.com/otcapi/company/financial-report/300475/content,AAPT_2021_Annual_3.pdf,"87    ALL AMERICAN PET CO INC
Name: 4, dtype: object",AAPT_2021_Annual_3.txt,1,0,-5,0,"<regex.Match object; span=(267, 278), match=' 12/81/2019'>",1.0
AAPT,0,1848,2022,Annual Report - AAPT Annual Report 2021 (Amended),1,04/04/2022,https://www.otcmarkets.com/otcapi/company/financial-report/326652/content,AAPT_2022_Annual_1.pdf,"87    ALL AMERICAN PET CO INC
Name: 4, dtype: object",AAPT_2022_Annual_1.txt,1,0,-5,0,"<regex.Match object; span=(276, 287), match=' 12/31/2021'>",1.0
AAPT,0,1848,2022,Annual Report - AAPT - FY 2021 December,2,03/31/2022,https://www.otcmarkets.com/otcapi/company/financial-report/325740/content,AAPT_2022_Annual_2.pdf,"87    ALL AMERICAN PET CO INC
Name: 4, dtype: object",AAPT_2022_Annual_2.txt,1,0,-5,0,"<regex.Match object; span=(276, 287), match=' 12/31/2021'>",1.0
ABVN,0,1848,2017,"Annual Report - ABV Consulting, Inc. (ABVN) FY2016 Annual Report",1,04/28/2017,https://www.otcmarkets.com/otcapi/company/financial-report/170775/content,ABVN_2017_Annual_1.pdf,"331    ABV CONSULTING INC
Name: 4, dtype: object",ABVN_2017_Annual_1.txt,0,0,-1,0,-1,
ACCR,0,1848,2021,Annual Report - 2020 Amendement,1,08/31/2021,https://www.otcmarkets.com/otcapi/company/financial-report/299955/content,ACCR_2021_Annual_1.pdf,"522    ACCESS-POWER & CO INC
Name: 4, dtype: object",ACCR_2021_Annual_1.txt,1,0,1,0,"<regex.Match object; span=(223, 241), match=' December 31, 2020'>",1.0
ACCR,0,1848,2021,Annual Report - 2019 Amendement,2,08/31/2021,https://www.otcmarkets.com/otcapi/company/financial-report/299951/content,ACCR_2021_Annual_2.pdf,"522    ACCESS-POWER & CO INC
Name: 4, dtype: object",ACCR_2021_Annual_2.txt,1,0,1,0,"<regex.Match object; span=(223, 241), match=' December 31, 2019'>",1.0
ACCR,0,1848,2021,Annual Report - 2020,3,08/18/2021,https://www.otcmarkets.com/otcapi/company/financial-report/297023/content,ACCR_2021_Annual_3.pdf,"522    ACCESS-POWER & CO INC
Name: 4, dtype: object",ACCR_2021_Annual_3.txt,1,0,1,0,"<regex.Match object; span=(223, 241), match=' December 31, 2020'>",1.0
ACCR,0,1848,2021,Annual Report - 2019,4,08/10/2021,https://www.otcmarkets.com/otcapi/company/financial-report/294899/content,ACCR_2021_Annual_4.pdf,"522    ACCESS-POWER & CO INC
Name: 4, dtype: object",ACCR_2021_Annual_4.txt,1,0,1,0,"<regex.Match object; span=(223, 241), match=' December 31, 2019'>",1.0
ACCR,0,1848,2022,Annual Report - Annual Report,1,01/18/2022,https://www.otcmarkets.com/otcapi/company/financial-report/317762/content,ACCR_2022_Annual_1.pdf,"522    ACCESS-POWER & CO INC
Name: 4, dtype: object",ACCR_2022_Annual_1.txt,1,0,1,0,"<regex.Match object; span=(223, 241), match=' December 31, 2021'>",1.0
ACMTA,0,1848,2005,Annual Report - Annual Report,1,05/09/2005,https://www.otcmarkets.com/otcapi/company/financial-report/2781/content,ACMTA_2005_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2005_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2006,Annual Report - Annual Report,1,05/11/2006,https://www.otcmarkets.com/otcapi/company/financial-report/7533/content,ACMTA_2006_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2006_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2007,Annual Report - Annual Report,1,04/11/2007,https://www.otcmarkets.com/otcapi/company/financial-report/10425/content,ACMTA_2007_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2007_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2008,Annual Report - Annual Report,1,04/16/2008,https://www.otcmarkets.com/otcapi/company/financial-report/14444/content,ACMTA_2008_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2008_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2009,Annual Report - Annual Report,1,04/24/2009,https://www.otcmarkets.com/otcapi/company/financial-report/20661/content,ACMTA_2009_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2009_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2010,"Annual Report - Year Ended December 31, 2009",1,04/21/2010,https://www.otcmarkets.com/otcapi/company/financial-report/31109/content,ACMTA_2010_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2010_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2011,"Annual Report - Year Ended December 31, 2010",1,05/06/2011,https://www.otcmarkets.com/otcapi/company/financial-report/50067/content,ACMTA_2011_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2011_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2012,"Annual Report - Year Ended December 31, 2011",1,05/10/2012,https://www.otcmarkets.com/otcapi/company/financial-report/80994/content,ACMTA_2012_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2012_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2013,Annual Report - 2012 Annual Report,1,05/13/2013,https://www.otcmarkets.com/otcapi/company/financial-report/104294/content,ACMTA_2013_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2013_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2014,Annual Report - ACMAT Corporation 2013 Annual Report,1,05/01/2014,https://www.otcmarkets.com/otcapi/company/financial-report/119727/content,ACMTA_2014_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2014_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2015,Annual Report - ACMAT Corporation 2014 Annual Report,1,05/08/2015,https://www.otcmarkets.com/otcapi/company/financial-report/137687/content,ACMTA_2015_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2015_Annual_1.txt,0,0,-1,0,-1,
ACMTA,0,1848,2016,Annual Report - ACMAT Corporation 2015 Annual Report,1,05/10/2016,https://www.otcmarkets.com/otcapi/company/financial-report/154693/content,ACMTA_2016_Annual_1.pdf,"381    ACMAT CORP A
Name: 4, dtype: object",ACMTA_2016_Annual_1.txt,0,0,-1,0,-1,
