,ID,Name,Reason
0,GRCO,GREENBELT RESOURCES CORP,Unknown error
0,FRRZF,FERROTEC CORP ORD,NoSubmissions
0,EGXP,EAGLE EXPLORATION CO,404
0,VYON,VIYYA TECHS INC,404
0,MAOTF,MAROC TELECOM ITISSALAT,NoSubmissions
0,KMDRF,KERMODE RESOURCES LTD,NoSubmissions
0,MTPP,INNOVATIVE DESIGNS INC,No Annual Report files found
0,AERS,AERIUS,Unknown error
0,CSOL,INNOVATIVE DESIGNS INC,No Annual Report files found
0,APDSF,AUTOPISTAS DEL SOL SA D,404
0,MDWK,MDWERKS INC,NoSubmissions
0,WPKS,WORLD POKER STORE INC,404
0,TKURF,TOKYU REIT INC,NoSubmissions
0,DHCC,DIAMONDHEAD CASINO CORP,NoSubmissions
0,CRWG,CROWDGATHER INC,404
0,GEVI,GENERAL ENVIR MGMT INC,NoSubmissions
0,SIGN,SIGNET INTL HLDGS INC,404
0,WSZWF,WESIZWE PLATINUM ORD,NoSubmissions
0,RINO,RINO INTL CORP,Unknown error
0,WWSG,WORLDWIDE STRATEGIES INC,NoSubmissions
0,GTNM,GOLDEN TIME NETWORK,404
0,GRHI,GOLD ROCK HLDGS INC A,NoSubmissions
0,DKMR,XTREME FIGHTING CHAMPSHIP,404
0,TDCH,30DC INC,404
0,PLPL,INNOVATIVE DESIGNS INC,No Annual Report files found
0,NUVI,EMO CAPITAL CORP,NoSubmissions
0,CEHD,CHINA ELECTRONICS HLDGS,404
0,SKCBY,SHINKIN CNTRL BK UNSP/ADR,NoSubmissions
0,GLCO,GLOBAL LINKS CORP,Indexing_error
0,KPJHF,KPJ HEALTHCARE BHD,404
0,DFEL,CHINA TMK BATTERY SYS INC,404
0,ASZP,JV GROUP INC,404
0,WOLV,INNOVATIVE DESIGNS INC,No Annual Report files found
0,GTVI,INNOVATIVE DESIGNS INC,No Annual Report files found
0,DSHIF,DOSHISHA CO LTD ORD,NoSubmissions
0,SHNL,SHENTANG INTL INC,404
0,AGSO,AGRISOLAR SOLUTIONS INC,404
0,PTEL,PEGASUS TEL INC,NoSubmissions
0,UPOW,UAN POWER CORP,404
0,SSCR,SMSA CRANE ACQUISITION CP,NoSubmissions
0,JGRRF,JINCHUAN GROUP INTL RES,NoSubmissions
0,GNSG,GNS GROUP INC,404
0,TLFA,TANDY LEATHER FACTORY INC,404
0,CTON,SECOND STREET CAPITAL INC,404
0,PSUTF,PT ALAM SUTERA REALTY TBK,404
0,MYHI,INNOVATIVE DESIGNS INC,No Annual Report files found
0,SIBE,SIBLING GROUP HLDGS INC,404
0,STCC,INNOVATIVE DESIGNS INC,No Annual Report files found
0,UMEWF,INNOVATIVE DESIGNS INC,No Annual Report files found
0,BMIN,BRITANNIA MINING INC,404
0,BBII,BRISSET BEER INTL INC,404
0,EVGI,EVERGREEN INTL CORP,404
0,BOPO,INNOVATIVE DESIGNS INC,No Annual Report files found
0,SPEC,SPECTRALCAST INC,404
